CATEGORIES,COLOR,Sum of MAX,METRIC,TEAM,TOURNAMENT,URL LOGO,Sum of VALUE
ATTACK,#00CF00,100,"COUNTERATTACKS WITH SHOTS, %",Ecuador,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/nun1o8jC-IPF97VQ3.png,17.5
ATTACK,#00CF00,100,"COUNTERATTACKS WITH SHOTS, %",Egypt,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/SKagcEU0-tY1cOGyQ.png,17.95
ATTACK,#00CF00,100,"COUNTERATTACKS WITH SHOTS, %",Panama,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/WYjftaA6-6yXdouA1.png,10
ATTACK,#00CF00,100,"COUNTERATTACKS WITH SHOTS, %",Senegal,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xORbTVT0-lQcLqf4g.png,24.14
ATTACK,#00CF00,100,"COUNTERATTACKS WITH SHOTS, %",Turkey,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/OIr3e18k-Cfuwb3yH.png,19.35
ATTACK,#00CF00,100,"COUNTERATTACKS WITH SHOTS, %",United States,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xfxMId8k-MPdHoKT3.png,18.18
ATTACK,#00CF00,100,"COUNTERATTACKS WITH SHOTS, %",Uruguay,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/pvtmslhT-WdZ4jMrq.png,13.889999999999999
ATTACK,#00CF00,100,"LEFT ATTACKS WITH SHOTS, %",Algeria,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/A9ccQtU0-YFbDUeTh.png,3.85
ATTACK,#00CF00,100,"LEFT ATTACKS WITH SHOTS, %",Belgium,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/AqUnTDAN-dtrVaP64.png,23.53
ATTACK,#00CF00,100,"LEFT ATTACKS WITH SHOTS, %",Cabo Verde,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/vRSce5lC-GvK8wiCN.png,13.11
ATTACK,#00CF00,100,"LEFT ATTACKS WITH SHOTS, %",Canada,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/0U0WjVkl-EqLGVN18.png,12.22
ATTACK,#00CF00,100,"LEFT ATTACKS WITH SHOTS, %",Colombia,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/Y70aXOTH-C6kVdO5F.png,6.559999999999999
ATTACK,#00CF00,100,"LEFT ATTACKS WITH SHOTS, %",Ecuador,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/nun1o8jC-IPF97VQ3.png,12.36
ATTACK,#00CF00,100,"LEFT ATTACKS WITH SHOTS, %",Egypt,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/SKagcEU0-tY1cOGyQ.png,15.659999999999998
ATTACK,#00CF00,100,"LEFT ATTACKS WITH SHOTS, %",Panama,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/WYjftaA6-6yXdouA1.png,6.35
